Welches Wortende wurde im Gedächtnistraining als Beispiel für die Wortsuche genutzt?,Das Wort '-wetter'.
Wie wird die Uhrzeit für das Abendessen im Wohnbereich angesetzt?,Gegen 18:30 Uhr.
Was versteht man unter 'Mobilisation' im Kontext des Rollstuhls?,Die Unterstützung des Bewohners beim Transfer vom Bett in den Rollstuhl.
Welche kognitive Fähigkeit wird beim Singkreis besonders gefördert?,Das Langzeitgedächtnis durch das Abrufen bekannter Liedtexte.
Was ist der Vorteil eines Dienstzimmers für das Team?,Es dient als zentraler Ort für Absprachen und die Dokumentationsarbeit.
Wieso ist die Berufswahl 'Altenpflege' laut Titel zukunftsorientiert?,Aufgrund der alternden Gesellschaft besteht ein stetig wachsender Bedarf an Fachkräften.
Welche Rolle spielt die Privatsphäre beim morgendlichen Wecken?,Das Klopfen und Begrüßen wahrt die Intimsphäre des Bewohners in seinem Rückzugsort.
"Was bedeutet es, wenn ein Bewohner 'orientiert' ist?",Er kann Entscheidungen wie den Ort des Essens oder die Kleidungswahl selbst treffen.
"Wie wird sichergestellt, dass Bewohner genug Flüssigkeit zu sich nehmen?","Durch regelmäßiges Anbieten von Getränken, wie z.B. Kaffee oder Tee am Nachmittag."
Was ist eine 'Praxisbegleitung'?,"Ein Termin, bei dem die Praxisanleiterin den Auszubildenden bei der direkten Arbeit am Bewohner anleitet."
Welche physischen Voraussetzungen werden beim Krafttraining im Sitzen trainiert?,Muskelkraft und allgemeine Ausdauer.
Wie nennt man die Unterstützung bei der Ausscheidung und Hygiene?,Grundpflege (Teilbereich der pflegerischen Versorgung).
Warum ist 'Geduld' eine Kernkompetenz in der Altenpflege?,Weil Bewohner für alltägliche Verrichtungen oft mehr Zeit benötigen.
Welche Bedeutung hat das 'Anziehen von Kompressionsstrümpfen' für den Kreislauf?,Es verbessert den venösen Rückfluss des Blutes zum Herzen.
Inwiefern unterscheidet sich die Arbeit im Wohnbereich von einer Klinik?,"Der Wohnbereich ist das Zuhause der Bewohner, was eine persönlichere Gestaltung erlaubt."
Was ist ein 'Wohnbereich' in einem Seniorenzentrum?,"Eine organisatorische Einheit, in der eine bestimmte Gruppe von Bewohnern lebt und betreut wird."
Welche sozialen Komponenten hat das gemeinsame Mittagessen?,Vermeidung von Isolation und Förderung der Kommunikation unter Bewohnern.
Was ist die 'Frühschicht' zeitlich gesehen?,"Der Dienst, der am frühen Morgen beginnt und meist bis zum frühen Nachmittag dauert."
Wie wird die Selbstständigkeit beim Waschen gefördert?,"Indem man dem Bewohner die Seife reicht und ihn motiviert, erreichbare Körperstellen selbst zu waschen."
Welche Rolle spielt die Biografiearbeit bei der Essenswahl?,Wünsche und Vorlieben (z.B. Espresso nach dem Essen) werden als feste Gewohnheiten respektiert.
Was ist das Hauptziel der Sturzprophylaxe?,Die Vermeidung von Knochenbrüchen und anderen Verletzungen durch Stürze.
"Woran erkennt eine Pflegekraft, dass ein Bewohner Hilfe beim Aufstehen benötigt?",Durch Beobachtung der Mobilität oder direkte Bitte des Bewohners.
Warum ist die Dokumentation rechtlich relevant?,Sie dient als Nachweis über die ordnungsgemäße Erbringung der Pflegeleistungen.
Welche Tätigkeit beendet oft den Arbeitstag im Spätdienst?,Die Hilfe beim Zubettgehen und das Ausziehen der Stützstrümpfe.
Was ist der Kern der Ausbildung zur Altenpflegerin?,Die Verbindung von theoretischem Fachwissen und praktischer Anwendung am Menschen.
